player_id,primary_team_id,primary_team_abbr,all_teams_season,num_teams,games_with_primary_team,season
201145,1610612745,HOU,HOU,1,32,2024-25
1630182,1610612766,CHA,CHA,1,68,2024-25
1629656,1610612742,DAL,"DAL, PHI",2,47,2024-25
1631243,1610612737,ATL,ATL,1,33,2024-25
1629060,1610612747,LAL,LAL,1,59,2024-25
1630169,1610612754,IND,IND,1,73,2024-25
1641790,1610612743,DEN,DEN,1,19,2024-25
203501,1610612765,DET,DET,1,77,2024-25
201935,1610612746,LAC,LAC,1,79,2024-25
1630702,1610612742,DAL,DAL,1,57,2024-25
1641989,1610612762,UTA,UTA,1,10,2024-25
203914,1610612753,ORL,ORL,1,48,2024-25
202699,1610612765,DET,DET,1,73,2024-25
1628404,1610612752,NYK,NYK,1,77,2024-25
1628392,1610612760,OKC,OKC,1,57,2024-25
1630573,1610612738,BOS,BOS,1,71,2024-25
1641722,1610612740,NOP,NOP,1,56,2024-25
1629637,1610612747,LAL,LAL,1,56,2024-25
1630703,1610612757,POR,POR,1,66,2024-25
1641707,1610612762,UTA,UTA,1,3,2024-25
1629639,1610612748,MIA,MIA,1,77,2024-25
1627741,1610612744,GSW,GSW,1,82,2024-25
1629312,1610612748,MIA,MIA,1,74,2024-25
1628988,1610612745,HOU,HOU,1,62,2024-25
201950,1610612738,BOS,BOS,1,62,2024-25
1641842,1610612765,DET,DET,1,81,2024-25
1626158,1610612764,WAS,WAS,1,31,2024-25
1631096,1610612760,OKC,OKC,1,32,2024-25
1641720,1610612755,PHI,"LAL, PHI",2,13,2024-25
201143,1610612738,BOS,BOS,1,60,2024-25
1629659,1610612741,CHI,CHI,1,58,2024-25
1631216,1610612753,ORL,ORL,1,58,2024-25
1641724,1610612753,ORL,ORL,1,60,2024-25
1628989,1610612758,SAC,"CHI, SAC",2,43,2024-25
1630643,1610612763,MEM,MEM,1,64,2024-25
1630574,1610612752,NYK,NYK,1,25,2024-25
1629631,1610612737,ATL,"ATL, CLE",2,37,2024-25
1630538,1610612746,LAC,"LAC, MIN",2,20,2024-25
1642345,1610612756,PHX,PHX,1,61,2024-25
204060,1610612750,MIN,MIN,1,19,2024-25
1627742,1610612740,NOP,NOP,1,18,2024-25
1631127,1610612759,SAS,SAS,1,5,2024-25
202681,1610612742,DAL,DAL,1,50,2024-25
1628371,1610612753,ORL,ORL,1,71,2024-25
