player_id,full_name,first_name,last_name
1629098,Jack McVeigh,Jack,McVeigh
1629001,De'Anthony Melton,De'Anthony,Melton
1630241,Sam Merrill,Sam,Merrill
203995,Vasilije Micić,Vasilije,Micić
203114,Khris Middleton,Khris,Middleton
1641706,Brandon Miller,Brandon,Miller
1641757,Jordan Miller,Jordan,Miller
1631159,Leonard Miller,Leonard,Miller
201988,Patty Mills,Patty,Mills
1629003,Shake Milton,Shake,Milton
1631303,Justin Minaya,Justin,Minaya
1642434,Riley Minix,Riley,Minix
1631169,Josh Minott,Josh,Minott
1642274,Yves Missi,Yves,Missi
1642349,Ajay Mitchell,Ajay,Mitchell
1630558,Davion Mitchell,Davion,Mitchell
1628378,Donovan Mitchell,Donovan,Mitchell
1630596,Evan Mobley,Evan,Mobley
1642367,Jonathan Mogbo,Jonathan,Mogbo
1628370,Malik Monk,Malik,Monk
1630541,Moses Moody,Moses,Moody
1631386,Tazé Moore,Tazé,Moore
1631111,Wendell Moore Jr.,Wendell,Moore Jr.
1629630,Ja Morant,Ja,Morant
202693,Markieff Morris,Markieff,Morris
1628420,Monté Morris,Monté,Morris
1630530,Trey Murphy III,Trey,Murphy III
1627749,Dejounte Murray,Dejounte,Murray
1627750,Jamal Murray,Jamal,Murray
1631099,Keegan Murray,Keegan,Murray
1631200,Kris Murray,Kris,Murray
1629004,Svi Mykhailiuk,Svi,Mykhailiuk
1631250,Pete Nance,Pete,Nance
1626204,Larry Nance Jr.,Larry,Nance Jr.
1629614,Andrew Nembhard,Andrew,Nembhard
1630174,Aaron Nesmith,Aaron,Nesmith
1641803,Tristen Newton,Tristen,Newton
1627777,Georges Niang,Georges,Niang
1630227,Daishen Nix,Daishen,Nix
1630192,Zeke Nnaji,Zeke,Nnaji
1629669,Jaylen Nowell,Jaylen,Nowell
203994,Jusuf Nurkić,Jusuf,Nurkić
1626220,Royce O'Neale,Royce,O'Neale
1629643,Chuma Okeke,Chuma,Okeke
1629006,Josh Okogie,Josh,Okogie
1630168,Onyeka Okongwu,Onyeka,Okongwu
1630171,Isaac Okoro,Isaac,Okoro
1642439,Quincy Olivari,Quincy,Olivari
203482,Kelly Olynyk,Kelly,Olynyk
1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.
101108,Chris Paul,Chris,Paul
1626166,Cameron Payne,Cameron,Payne
203901,Elfrid Payton,Elfrid,Payton
1627780,Gary Payton II,Gary,Payton II
1641809,Drew Peterson,Drew,Peterson
1641763,Julian Phillips,Julian,Phillips
1629618,Jalen Pickett,Jalen,Pickett
1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.
1631342,Daeqwon Plowden,Daeqwon,Plowden
203486,Mason Plumlee,Mason,Plumlee
1641764,Brandin Podziemski,Brandin,Podziemski
1627751,Jakob Poeltl,Jakob,Poeltl
1629673,Jordan Poole,Jordan,Poole
1641854,Craig Porter Jr.,Craig,Porter Jr.
1629645,Kevin Porter Jr.,Kevin,Porter Jr.
1629008,Michael Porter Jr.,Michael,Porter Jr.
1626171,Bobby Portis,Bobby,Portis
204001,Kristaps Porziņģis,Kristaps,Porziņģis
1642366,Quinten Post,Quinten,Post
1630695,Micah Potter,Micah,Potter
203939,Dwight Powell,Dwight,Powell
1626181,Norman Powell,Norman,Powell
1627752,Taurean Prince,Taurean,Prince
1630202,Payton Pritchard,Payton,Pritchard
1641765,Olivier-Maxence Prosper,Olivier-Maxence,Prosper
1642389,Zyon Pullin,Zyon,Pullin
1630243,Trevelin Queen,Trevelin,Queen
1629674,Neemias Queta,Neemias,Queta
1630193,Immanuel Quickley,Immanuel,Quickley
1631311,Lester Quinones,Lester,Quinones
203944,Julius Randle,Julius,Randle
1641871,Duop Reath,Duop,Reath
1630559,Austin Reaves,Austin,Reaves
1629629,Cam Reddish,Cam,Reddish
1630194,Paul Reed,Paul,Reed
1642024,Alex Reese,Alex,Reese
1641810,Antonio Reeves,Antonio,Reeves
1629675,Naz Reid,Naz,Reid
1631197,Jared Rhoden,Jared,Rhoden
1630208,Nick Richards,Nick,Richards
1626196,Josh Richardson,Josh,Richardson
1642258,Zaccharie Risacher,Zaccharie,Risacher
1641857,Liam Robbins,Liam,Robbins
1629130,Duncan Robinson,Duncan,Robinson
1631115,Orlando Robinson,Orlando,Robinson
1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl
1631223,David Roddy,David,Roddy
1631157,Ryan Rollins,Ryan,Rollins
1642050,Jackson Rowe,Jackson,Rowe
1626179,Terry Rozier,Terry,Rozier
1641712,Rayan Rupert,Rayan,Rupert
1626156,D'Angelo Russell,D'Angelo,Russell
1630346,Matt Ryan,Matt,Ryan
1627734,Domantas Sabonis,Domantas,Sabonis
1642275,Tidjane Salaün,Tidjane,Salaün
1641766,Adama Sanogo,Adama,Sanogo
1630611,Gui Santos,Gui,Santos
