Player_ID,full_name,first_name,last_name,Primary_Team_ID,Primary_Team,Primary_Team_Abbr,Games_With_Primary_Team,All_Teams,Num_Teams,Season_Games,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV_ratio
1641753,Chris Livingston,Chris,Livingston,1610612749,Milwaukee Bucks,MIL,21,MIL,1,21,5.048,0.429,1.286,0.194,0.0,0.381,0.0,0.571,0.762,0.262,0.476,1.19,1.667,0.238,0.238,0.0,0.286,0.381,1.429,0.833
1626172,Kevon Looney,Kevon,Looney,1610612744,Golden State Warriors,GSW,76,GSW,1,76,15.066,1.882,3.658,0.511,0.026,0.066,0.026,0.737,1.303,0.286,2.434,3.645,6.079,1.553,0.605,0.487,0.513,2.026,4.526,3.026
201572,Brook Lopez,Brook,Lopez,1610612749,Milwaukee Bucks,MIL,80,MIL,1,80,31.825,4.925,9.675,0.508,1.738,4.662,0.357,1.425,1.725,0.533,1.412,3.6,5.012,1.788,0.625,1.85,1.05,2.138,13.012,1.702
201567,Kevin Love,Kevin,Love,1610612748,Miami Heat,MIA,23,MIA,1,23,10.913,1.783,5.0,0.277,1.043,2.913,0.248,0.696,1.0,0.239,0.957,3.13,4.087,0.957,0.652,0.174,0.609,0.913,5.304,1.571
200768,Kyle Lowry,Kyle,Lowry,1610612755,Philadelphia 76ers,PHI,35,PHI,1,35,18.886,1.171,3.343,0.264,0.829,2.514,0.246,0.771,0.943,0.257,0.314,1.6,1.914,2.743,0.943,0.314,0.6,1.771,3.943,4.571
1626168,Trey Lyles,Trey,Lyles,1610612758,Sacramento Kings,SAC,69,SAC,1,69,19.551,2.275,5.42,0.411,1.174,3.449,0.319,0.812,1.159,0.33,1.159,3.42,4.58,1.188,0.594,0.333,0.565,1.246,6.536,2.103
1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,1610612759,San Antonio Spurs,SAS,61,SAS,1,61,11.164,2.311,4.607,0.448,0.984,2.639,0.318,0.705,0.951,0.277,1.016,2.049,3.066,0.787,0.361,0.279,0.426,0.984,6.311,1.846
1629611,Terance Mann,Terance,Mann,1610612746,Los Angeles Clippers,LAC,37,"ATL, LAC",2,67,21.119,3.06,6.164,0.47,0.896,2.433,0.34,0.701,1.015,0.276,1.015,1.955,2.97,1.806,0.701,0.224,0.701,1.91,7.716,2.574
1630544,Tre Mann,Tre,Mann,1610612766,Charlotte Hornets,CHA,13,CHA,1,13,24.538,5.385,12.385,0.419,1.846,4.615,0.346,1.462,1.615,0.615,0.923,2.0,2.923,3.0,0.538,0.308,1.923,1.846,14.077,1.56
1628374,Lauri Markkanen,Lauri,Markkanen,1610612762,Utah Jazz,UTA,47,UTA,1,47,31.383,6.298,14.894,0.431,2.936,8.489,0.346,3.447,3.936,0.743,1.532,4.383,5.915,1.489,0.702,0.362,1.404,1.681,18.979,1.061
1630230,Naji Marshall,Naji,Marshall,1610612742,Dallas Mavericks,DAL,69,DAL,1,69,27.783,5.246,10.319,0.489,0.87,3.159,0.233,1.884,2.319,0.561,1.101,3.652,4.754,3.014,1.014,0.159,1.623,1.58,13.246,1.857
1628997,Caleb Martin,Caleb,Martin,1610612755,Philadelphia 76ers,PHI,31,"DAL, PHI",2,45,27.067,2.867,6.756,0.412,0.822,2.289,0.272,1.356,2.178,0.394,1.178,2.756,3.933,2.111,1.022,0.511,1.244,1.933,7.911,1.696
