game_id,team_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
22400214,1610612740,2024-11-11,NOP vs. BKN,L,240,42,94,0.447,10,30,0.333,11,12,0.917,14,31,45,31,13,4,10,15,105
22400186,1610612740,2024-11-08,NOP @ ORL,L,240,32,84,0.381,10,31,0.323,14,17,0.824,6,25,31,18,10,1,15,19,88
22400175,1610612740,2024-11-06,NOP vs. CLE,L,240,42,88,0.477,13,27,0.481,25,28,0.893,8,25,33,21,8,8,9,14,122
22400164,1610612740,2024-11-04,NOP vs. POR,L,240,38,84,0.452,10,35,0.286,14,16,0.875,10,24,34,24,5,3,12,20,100
22400152,1610612740,2024-11-03,NOP vs. ATL,L,240,39,90,0.433,16,38,0.421,17,20,0.85,18,25,43,22,6,3,18,16,111
22400138,1610612740,2024-11-01,NOP vs. IND,W,240,49,101,0.485,12,31,0.387,15,19,0.789,15,31,46,28,8,4,6,15,125
22400126,1610612740,2024-10-30,NOP @ GSW,L,240,33,90,0.367,11,36,0.306,12,20,0.6,18,31,49,24,7,6,14,17,89
22400116,1610612740,2024-10-29,NOP @ GSW,L,240,40,74,0.541,9,22,0.409,17,24,0.708,9,35,44,23,4,6,23,13,106
22400099,1610612740,2024-10-27,NOP @ POR,L,240,38,88,0.432,8,29,0.276,19,24,0.792,15,24,39,24,9,8,15,22,103
22400086,1610612740,2024-10-25,NOP @ POR,W,240,36,86,0.419,12,32,0.375,21,31,0.677,11,33,44,25,12,8,14,22,105
22400069,1610612740,2024-10-23,NOP vs. CHI,W,240,45,97,0.464,14,37,0.378,19,21,0.905,7,35,42,29,15,10,11,17,123
22401191,1610612741,2025-04-13,CHI @ PHI,W,240,47,103,0.456,13,40,0.325,15,20,0.75,15,44,59,29,10,4,12,17,122
22401176,1610612741,2025-04-11,CHI vs. WAS,W,240,43,93,0.462,13,41,0.317,20,22,0.909,13,41,54,32,8,7,12,13,119
22401160,1610612741,2025-04-09,CHI vs. MIA,W,240,46,89,0.517,14,37,0.378,13,13,1.0,10,36,46,33,8,7,16,14,119
22401147,1610612741,2025-04-08,CHI @ CLE,L,240,41,86,0.477,15,43,0.349,16,19,0.842,12,33,45,26,9,3,20,15,113
22401133,1610612741,2025-04-06,CHI @ CHA,W,240,46,86,0.535,16,36,0.444,23,29,0.793,9,32,41,26,8,1,12,23,131
22401122,1610612741,2025-04-04,CHI vs. POR,W,240,41,87,0.471,10,27,0.37,26,31,0.839,11,50,61,25,2,8,17,16,118
22401099,1610612741,2025-04-01,CHI vs. TOR,W,240,50,88,0.568,14,34,0.412,23,27,0.852,10,39,49,36,10,2,12,9,137
22401094,1610612741,2025-03-31,CHI @ OKC,L,240,44,98,0.449,16,51,0.314,13,16,0.813,10,33,43,29,7,7,19,16,117
22401077,1610612741,2025-03-29,CHI vs. DAL,L,240,43,91,0.473,14,33,0.424,19,24,0.792,12,44,56,31,4,3,19,17,119
22401063,1610612741,2025-03-27,CHI vs. LAL,W,240,43,92,0.467,19,44,0.432,14,22,0.636,11,37,48,33,4,2,15,15,119
22401042,1610612741,2025-03-24,CHI @ DEN,W,240,45,91,0.495,17,39,0.436,22,26,0.846,12,31,43,31,8,5,10,17,129
22401028,1610612741,2025-03-22,CHI @ LAL,W,240,56,96,0.583,19,41,0.463,15,20,0.75,10,32,42,41,17,5,10,16,146
22401013,1610612741,2025-03-20,CHI @ SAC,W,240,45,86,0.523,15,35,0.429,23,26,0.885,12,28,40,32,9,2,12,19,128
22401007,1610612741,2025-03-19,CHI @ PHX,L,240,49,90,0.544,15,38,0.395,8,12,0.667,8,32,40,29,7,8,13,19,121
22400989,1610612741,2025-03-17,CHI @ UTA,W,240,42,97,0.433,14,45,0.311,13,16,0.813,9,40,49,29,12,3,9,14,111
22400970,1610612741,2025-03-15,CHI @ HOU,L,240,43,93,0.462,14,38,0.368,14,16,0.875,5,31,36,24,6,5,10,23,114
22400956,1610612741,2025-03-13,CHI vs. BKN,W,240,41,90,0.456,11,37,0.297,23,26,0.885,13,34,47,24,8,4,8,16,116
22400933,1610612741,2025-03-10,CHI vs. IND,W,240,49,98,0.5,12,33,0.364,11,14,0.786,10,46,56,30,4,6,18,19,121
22400916,1610612741,2025-03-08,CHI @ MIA,W,240,40,88,0.455,11,42,0.262,23,26,0.885,5,46,51,27,6,4,10,14,114
22400944,1610612741,2025-03-06,CHI @ ORL,W,240,43,86,0.5,15,40,0.375,24,30,0.8,13,35,48,25,5,7,18,31,125
22400886,1610612741,2025-03-04,CHI vs. CLE,L,240,47,106,0.443,11,44,0.25,12,17,0.706,10,40,50,32,6,6,7,21,117
22400868,1610612741,2025-03-02,CHI @ IND,L,240,44,88,0.5,10,33,0.303,14,18,0.778,12,30,42,24,6,4,12,17,112
22400855,1610612741,2025-02-28,CHI vs. TOR,W,265,45,101,0.446,13,49,0.265,22,25,0.88,10,35,45,32,11,4,11,16,125
22400842,1610612741,2025-02-26,CHI vs. LAC,L,240,46,94,0.489,19,42,0.452,6,11,0.545,15,26,41,35,9,1,16,12,117
22400823,1610612741,2025-02-24,CHI @ PHI,W,240,45,89,0.506,18,40,0.45,34,36,0.944,10,34,44,32,11,6,13,19,142
22400806,1610612741,2025-02-22,CHI vs. PHX,L,240,41,98,0.418,18,53,0.34,17,17,1.0,11,34,45,29,9,4,9,21,117
22400792,1610612741,2025-02-20,CHI @ NYK,L,265,41,103,0.398,19,48,0.396,10,12,0.833,11,42,53,24,6,6,15,12,111
22400775,1610612741,2025-02-12,CHI vs. DET,L,240,37,86,0.43,9,41,0.22,27,30,0.9,10,27,37,23,9,7,16,27,110
22400766,1610612741,2025-02-11,CHI vs. DET,L,240,35,100,0.35,10,47,0.213,12,19,0.632,14,30,44,22,9,2,14,10,92
22400745,1610612741,2025-02-08,CHI vs. GSW,L,240,35,79,0.443,17,39,0.436,24,31,0.774,6,25,31,24,8,4,17,19,111
22400723,1610612741,2025-02-05,CHI @ MIN,L,240,40,83,0.482,12,36,0.333,16,22,0.727,6,28,34,25,9,5,9,22,108
22400714,1610612741,2025-02-04,CHI vs. MIA,W,240,48,91,0.527,19,41,0.463,18,22,0.818,7,36,43,35,4,3,10,18,133
22400695,1610612741,2025-02-02,CHI @ DET,L,240,41,89,0.461,19,52,0.365,18,20,0.9,11,33,44,28,7,4,19,11,119
22400682,1610612741,2025-01-31,CHI @ TOR,W,240,45,89,0.506,18,40,0.45,14,17,0.824,9,43,52,34,4,9,10,18,122
22400666,1610612741,2025-01-29,CHI @ BOS,L,240,37,92,0.402,15,49,0.306,11,12,0.917,10,37,47,28,3,7,14,19,100
22400655,1610612741,2025-01-27,CHI vs. DEN,W,240,49,98,0.5,24,53,0.453,7,8,0.875,13,34,47,35,11,5,17,14,129
22400642,1610612741,2025-01-25,CHI vs. PHI,L,240,36,85,0.424,12,38,0.316,13,20,0.65,13,41,54,24,6,3,19,16,97
22400628,1610612741,2025-01-23,CHI @ GSW,L,240,34,87,0.391,16,40,0.4,22,27,0.815,10,32,42,22,7,2,11,16,106
22400611,1610612741,2025-01-20,CHI @ LAC,W,240,38,94,0.404,15,46,0.326,21,26,0.808,17,37,54,25,7,6,10,17,112
22400597,1610612741,2025-01-19,CHI @ POR,L,240,36,81,0.444,8,29,0.276,22,26,0.846,8,28,36,21,10,7,14,19,102
22400584,1610612741,2025-01-17,CHI vs. CHA,L,240,48,95,0.505,14,40,0.35,13,14,0.929,12,33,45,34,9,3,13,18,123
22400563,1610612741,2025-01-15,CHI vs. ATL,L,240,39,88,0.443,6,27,0.222,10,10,1.0,8,45,53,23,5,5,20,15,94
22400557,1610612741,2025-01-14,CHI vs. NOP,L,240,45,102,0.441,14,43,0.326,9,12,0.75,18,39,57,31,8,6,15,19,113
22400541,1610612741,2025-01-12,CHI vs. SAC,L,240,43,93,0.462,18,37,0.486,15,20,0.75,8,37,45,26,4,4,7,18,119
22400530,1610612741,2025-01-10,CHI vs. WAS,W,240,53,95,0.558,23,49,0.469,9,14,0.643,11,44,55,39,11,7,13,12,138
22400510,1610612741,2025-01-08,CHI @ IND,L,240,44,86,0.512,12,35,0.343,13,19,0.684,9,30,39,23,6,6,18,24,113
22400498,1610612741,2025-01-06,CHI vs. SAS,W,240,44,102,0.431,13,39,0.333,13,15,0.867,14,33,47,25,12,4,13,9,114
22400482,1610612741,2025-01-04,CHI vs. NYK,W,240,51,94,0.543,20,37,0.541,17,18,0.944,9,34,43,36,6,4,12,21,139
22400456,1610612741,2025-01-01,CHI @ WAS,L,240,41,92,0.446,14,47,0.298,11,14,0.786,8,36,44,28,11,6,20,13,107
22400442,1610612741,2024-12-30,CHI @ CHA,W,265,39,104,0.375,18,60,0.3,19,27,0.704,14,49,63,31,11,4,13,17,115
22400430,1610612741,2024-12-28,CHI vs. MIL,W,240,45,95,0.474,14,36,0.389,12,17,0.706,11,41,52,33,4,6,11,16,116
22400413,1610612741,2024-12-26,CHI @ ATL,L,240,53,98,0.541,22,43,0.512,5,6,0.833,9,27,36,36,8,1,14,26,133
22400398,1610612741,2024-12-23,CHI vs. MIL,L,240,36,90,0.4,10,48,0.208,9,12,0.75,9,37,46,27,9,1,15,15,91
22400381,1610612741,2024-12-21,CHI vs. BOS,L,240,37,98,0.378,14,41,0.341,10,11,0.909,10,33,43,28,8,4,12,14,98
