player_id,games_played,min_avg,fgm_avg,fga_avg,fg_pct,fg3m_avg,fg3a_avg,fg3_pct,ftm_avg,fta_avg,ft_pct,oreb_avg,dreb_avg,reb_avg,ast_avg,stl_avg,blk_avg,tov_avg,pf_avg,pts_avg,ast_tov_ratio,season
1631133,60,12.5,1.967,3.817,0.402,0.467,1.2,0.206,0.817,1.183,0.319,0.983,2.533,3.517,0.617,0.55,0.1,0.567,1.45,5.217,1.088,2024-25
1631157,56,14.589,2.357,4.839,0.421,0.875,2.143,0.3,0.643,0.804,0.298,0.375,1.554,1.929,1.857,0.75,0.304,0.946,1.571,6.232,1.962,2024-25
1631159,13,2.462,0.462,1.154,0.353,0.0,0.385,0.0,0.615,0.615,0.231,0.231,0.615,0.846,0.0,0.154,0.077,0.154,0.154,1.538,0.0,2024-25
1631165,80,24.35,2.838,5.8,0.475,1.738,4.012,0.399,0.912,1.075,0.348,0.75,1.9,2.65,1.5,1.512,0.788,0.888,2.2,8.325,1.69,2024-25
1631169,46,6.043,0.957,1.957,0.358,0.304,0.935,0.214,0.37,0.413,0.156,0.261,0.761,1.022,0.391,0.326,0.261,0.239,0.739,2.587,1.636,2024-25
1631170,66,20.803,3.227,7.0,0.432,0.561,1.803,0.231,1.621,2.152,0.399,1.273,3.121,4.394,2.515,0.924,0.212,1.485,1.227,8.636,1.694,2024-25
1631172,37,10.973,1.459,3.378,0.346,0.622,1.919,0.213,0.297,0.432,0.153,0.486,1.703,2.189,0.838,0.459,0.189,0.486,0.892,3.838,1.722,2024-25
1631197,14,16.286,3.0,6.214,0.385,0.857,2.786,0.193,1.571,1.786,0.458,1.0,2.0,3.0,1.143,0.714,0.143,0.643,1.429,8.429,1.778,2024-25
1631200,69,15.087,1.696,4.043,0.339,0.391,1.739,0.149,0.377,0.826,0.16,1.101,1.536,2.638,0.986,0.507,0.246,0.623,0.957,4.159,1.581,2024-25
1631204,57,14.193,2.404,5.193,0.41,1.018,2.667,0.312,0.754,0.895,0.295,0.316,0.895,1.211,2.333,0.649,0.07,0.947,1.263,6.579,2.463,2024-25
1631207,73,13.507,1.644,3.671,0.389,0.507,1.425,0.192,0.671,0.945,0.238,0.521,1.178,1.699,1.329,0.603,0.205,0.726,1.562,4.466,1.83,2024-25
1631209,20,13.25,2.05,5.25,0.39,0.65,1.65,0.396,1.25,1.7,0.383,0.7,0.9,1.6,1.4,0.55,0.0,0.9,1.05,6.0,1.556,2024-25
1631210,17,4.471,0.529,1.294,0.147,0.294,0.588,0.037,0.0,0.0,0.0,0.176,0.706,0.882,0.353,0.118,0.0,0.176,0.176,1.353,2.0,2024-25
1631212,68,24.368,3.0,6.294,0.451,0.706,2.0,0.268,1.397,2.015,0.436,0.691,2.735,3.426,1.382,0.706,1.368,0.824,1.809,8.103,1.679,2024-25
1631213,60,21.867,3.15,7.75,0.379,1.65,4.7,0.311,0.767,0.967,0.265,0.967,2.683,3.65,2.033,0.567,0.15,1.233,1.283,8.717,1.649,2024-25
1631214,1,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1000.0,2024-25
1631216,58,13.569,1.379,3.276,0.319,1.103,2.759,0.262,0.259,0.293,0.121,0.328,0.966,1.293,0.603,0.379,0.103,0.224,1.069,4.121,2.692,2024-25
1631217,71,17.493,2.352,3.944,0.536,0.0,0.085,0.0,0.972,1.634,0.297,2.634,3.535,6.169,0.789,0.648,0.563,0.859,1.535,5.676,0.918,2024-25
1631218,62,15.597,2.806,4.871,0.52,0.0,0.048,0.0,0.952,1.645,0.351,1.968,3.048,5.016,1.677,0.371,0.613,0.726,1.177,6.565,2.311,2024-25
1631221,33,13.939,2.061,4.788,0.403,1.182,2.727,0.369,0.576,0.667,0.241,0.667,1.697,2.364,2.364,0.636,0.152,0.515,0.909,5.879,4.588,2024-25
1631222,66,20.455,2.424,5.106,0.456,0.909,2.152,0.345,1.182,1.742,0.385,1.364,2.561,3.924,2.394,0.939,0.348,1.303,2.0,6.939,1.837,2024-25
1631223,33,12.394,1.727,3.788,0.429,0.576,1.848,0.244,0.606,0.788,0.207,0.394,2.152,2.545,1.061,0.424,0.273,0.667,0.606,4.636,1.591,2024-25
1631230,35,10.743,1.714,3.229,0.395,0.2,0.771,0.171,0.6,0.943,0.174,1.0,1.429,2.429,0.543,0.257,0.457,0.143,1.343,4.229,3.8,2024-25
1631232,14,23.643,3.786,7.786,0.472,1.0,3.071,0.276,1.571,2.143,0.468,0.857,3.286,4.143,0.929,0.714,0.714,0.857,2.143,10.143,1.083,2024-25
1631243,33,16.121,2.182,5.182,0.41,0.636,2.455,0.263,0.97,1.273,0.359,1.333,2.879,4.212,0.818,0.848,1.0,0.455,1.667,5.97,1.8,2024-25
1631245,28,13.607,2.071,4.357,0.329,0.536,1.429,0.188,1.107,1.429,0.31,0.5,1.071,1.571,1.893,0.75,0.179,0.571,1.536,5.786,3.312,2024-25
1631246,27,18.481,2.481,6.185,0.397,0.963,3.519,0.295,0.704,0.889,0.261,0.815,2.815,3.63,2.037,0.444,0.259,1.222,1.667,6.63,1.667,2024-25
1631247,12,7.333,0.417,1.667,0.13,0.0,0.75,0.0,0.167,0.167,0.083,0.667,1.0,1.667,0.667,0.083,0.083,0.667,0.5,1.0,1.0,2024-25
1631248,31,12.419,1.258,3.548,0.229,0.839,2.645,0.184,0.29,0.387,0.145,0.613,1.484,2.097,1.065,0.548,0.065,0.387,0.71,3.645,2.75,2024-25
